reviewId,content,score
fe776b57-9d13-4b22-a084-531e3e84a5f1,"Horrible experience...Change my rating from 5stars to 1 star, Can't login after temporary disabled my account.. and they don't even care about it.. fix the login error Instagram.",4
660465b7-47b2-47cf-b241-2aad2579687e,Good,5
84b919f3-9e33-4f7d-a297-06476eb8f25b,Instagram pe follower karo Mujhe bhai,5
41b54aba-1da0-40e0-b7fc-74c5dad69d85,@my_love_nil_thakor_143 @nil_offcial_007,5
f8e66322-fe42-47d5-b7cb-b5fce6dc75d8,So many glitches nowadays!!😑,2
82d058da-c234-4b05-9d85-ea6d17b57243,Thnks chlpi id,1
be5be39a-df20-46a2-8824-3b391ae28ddf,Very nice app,5
cfbe40ed-f0ba-49aa-96f5-6779a83bcbc7,It's a really great app,4
8b9ffbf2-3a6f-4965-8ae4-2842f3b323bf,Amazing app,5
d27dfd61-6116-476a-99a1-a0ab95237348,محمد حنیف,5
1dcf8cdc-fc4e-43b6-9c3d-9327ed5479f5,"It's not useful app, Story Music future not available",5
63acb39b-5b0f-42dd-be5f-123b1699c704,I love it,5
d0f0b57c-41d9-4406-841c-524df64ff57b,Bakwas aap...Koi ladki reply hi nhi krti....,5
d358f72a-4f3d-4fab-a18e-978c13fd60e0,Great 👍,5
1d569649-b6ce-4b16-be73-67f82f1da550,My aap is not Working help me,1
eb532844-28e2-46ab-9ac5-69deeeaacc20,Love it ...,5
6caab3d9-82eb-4355-b109-93751c33cdda,I really enjoying lot,5
952aae36-32ff-48ea-9e52-488330438d3f,Cakep,5
6d88f647-3aa7-4f25-9fb2-e0e0295b1da6,Nice,5
4287438c-021f-402c-bf9d-49a8b73125a0,Instagram is an best app but my id has been hacked so i request to get my account.,5
4da0b8bd-30ea-465f-8c3b-442a9dded534,Im not able to open instagram idk why the screen goes blank when i opens it,1
3797ee20-d4b5-4bf9-a284-fa9942ed1bfa,This is amazing app .....,4
f53bd1b6-9969-4ec9-91a5-2837aeeece13,Very good. Nice presentation,5
ddde9585-f22b-4573-a5e3-d863c49d772c,bhabha_pritampal.singh best app for Instagram,5
8b8ec316-b50a-493f-9164-ab8b7fad43c1,I like it,5
9cecf45e-712c-4a35-a276-24ceb300075e,Won't let me sign in,1
686e753e-f652-42c8-9661-331f3aa9c6ef,Story slow chl re ha,5
8f88b37d-42c9-4067-8745-604219a2265c,It's the best in all,2
edc25bf8-e3b5-470f-aaca-260b5a76c6fd,Not able to login,1
da5f5ad6-d0d1-41c9-9854-3544843547d9,"Removed... Keep getting badgered to enter DOB, even though I already did",1
29d21c49-c750-4cde-90e5-a802013cb186,"Sir,this app is great but today it is not opening i don't know why i press the app and the logo appears and after that all is just white and white",1
217dd985-e6df-47a1-b85a-95c463b61cfd,Priyateronpi,5
8a4655b6-b65f-449f-aded-ec7e56a7841e,"limited follow, unfollow and likes please solve this problem and unlimited all",1
16d5698f-9352-4665-9d33-c0bbb3256154,This app is the best,5
bf96349d-0e9c-4c6e-87fe-83cd6d3f78b4,Just one star because it hanging and when watching videos on the app it disappears,1
02c92195-d5ba-490a-a2b4-9916779325a7,I love it,5
cf0fda1c-0b09-40d9-9fca-da9d7d1c8206,Great app,5
