reviewId,content,score
f5a85bed-b1f8-44cc-bd42-f4834e156359,Good,5
af106f7c-be29-464e-a5ca-c3f340573b75,I love instagram 🌈😍,5
1f34ec15-c23d-442d-8a97-ac03346dbc9d,L. Mnj. Mmmmmmmmmmmllm. Mmmmmmmmmmmllmm Mkkkkkii,3
9160788e-fe82-40b5-af9d-64737033c621,login error,1
c86a10cd-abd2-4ae7-946e-cf78481a213e,FF BAST,5
9d8b4035-c8e9-458d-98ee-fd51a6c22234,Fantastic app,5
797a27ef-08c6-4daf-9272-298cba4d46c9,Amazing app💕,5
6557577e-ccb3-4583-8e2b-725712320c00,Good app,5
f6a6a397-29ed-441c-b006-98c0cb5fb2b3,I deactivate my account for 10 days Now I'm not able to login. Please help,1
669de241-bbae-43ed-944f-a8c4bbd2e4c7,Fun,5
71e0c696-2229-4d63-b1b4-946acd7c771b,Crashes on adding 4K videos on Samsung s22+,3
8c49ca94-7a90-4631-a784-325862f3fab0,"Unable to login after deactivating the account, Make sure this problem fix as soon as possible...Thanku Username: _mad._.venom_",2
4583aace-f849-4e53-b092-dbdb661d2640,Why i cant login into my account after deactive 1 week?,1
20e5ec94-1f79-4bba-86bd-0d77da9eed41,Iam trying to login to my account and it's showing a error saying cannot complete the request i closed my account temporarily and now it's not logging me in that's not good it's happening with so many people help us with this.,1
b810c501-bc9e-4a59-a90d-b627559d580c,Good,5
0889bdaa-97e8-4385-8239-bd8bb0f5a77b,Bug !!!!! 🤬🤬🤬🤬,1
b2621a16-366d-4223-97bf-80ee60e17619,Yesterday I diactivated my account becz of some personal issues then when I'm now reactivating my account it's showing error that there was a problem with your request.... I'm not able to login my account back...this problem is not only wilth me many of the people's are now going through this situation 😭...please it's a humble request please fix this issue problem...we don't want to loose our account... please please please fix it...😭🙏 I'll be thankful for u if it's get solved,2
6f888924-fb44-4df4-ad46-a1f60e6cc504,Osm nice 👍,3
9524b11e-e353-41fc-adb9-77d2ec4094ef,Op,5
728ceb0d-cf52-45a9-8efc-34c58c5d4eb3,Sir aapka aap bahut achchha hai par meri video par views nahi aate to kya karu please sir bata do,5
a69deec6-bc50-43a3-a1e1-26731d2a28ce,Nice,5
d155c102-96fd-4f9e-a8e2-edc4f88ace35,I couldn't log in to my account after disabling please help me to recover pls fix the issue,2
fea97397-0644-472e-a5a4-d1c8aa99655f,Superb aap😍,5
8ee8d7f2-5ff2-417c-88c8-11e35a4257d2,Good,5
7006d35e-22e9-4a51-bd1f-c4dcd3966ac8,Best app,5
d86d6512-a7a6-430e-8e20-13b32c7d12f4,Good good good,5
f0c12af7-0017-469f-bd26-98da5cb33e21,Worst.... can't even upload my reel...I thought it was my mobile defect....so I spent 60k RS and brought new one....still can't complete the upload...it took 3.5gb data...getting irritation from past 2 days,1
0ce2b909-23fe-493b-8ff2-625ab4120604,"Compromisingly addicting in the wrong hands. Very useful to enjoy time and reflect, but there is more to la vie.",3
928d35d1-79e8-44d2-970a-146130900b96,haven't got paid yet,4
a6c933c2-1e01-4429-b2d8-f2391e423a95,i can't log in to my acc after i deactivated it,1
019faf8b-9a32-4c99-81be-67cf2ec79e9c,Whenever i open this app it shows all black..... Please it needs improvement,1
57d70bdb-c442-46d9-b7af-68ad383b3a04,Good,4
c29387f8-3b02-4a75-bd68-0be22e29cb6e,Why reel option is getting disable .,4
b2953af0-c3c8-43d0-a647-3f299cdbbaa1,I temporarily deactivate my account a days ago and cant login back... It says that username not found or something like error... I hope you fix this problem as soon as possible... My account was so special... Havin many memories... I cant lose it... Im literally cryin while typing this,1
74f6b0a5-251c-4b36-820b-b25a6292c6e0,Baten aur acchi samajh dar ko bhi baat nahin honi chahie acchi kism ka video hai jismein shahar karen to अच्छी-अच्छी baten Karen bekar baten bilkul na Karen kyunki yahi hamari aadhar hai aur aap achcha karenge to aage bhi achcha jaega samajhte Hain aur paise bhi Koi faltu chijen na dalen dalen to Gyan ki chijen hi dalen koi chij nahin dhyan chahie humko aur bhi Gyan milta hai agar Ham achcha sochenge to aapke liye bhi achcha hoga jaisa sochenge vaisa karenge agar Ham achcha sochte Hain to dusra,5
