reviewId,content,score
50e0e8b8-a79c-485b-8004-fff08ea7fecd,This thing sucks,1
a26cf3f2-1541-4faf-bd00-79d13fb96241,"Hello! I don't have the ""like story option"" on my account. My phone is android and is fully updated with version 12. And I have other accounts on my phone which have like story option. But my this account _nimra_rafiq Is not fully updated. Kindly solve my problem as soon as possible. I have been sending this problem to instagram but their is no response 😕 What is this behavior.",1
0dd88055-e633-4ef2-b152-4e27cce9c312,It gets worse after each update,1
42b412ab-6b9d-4004-9a15-b584ba9be770,Video not show,1
a64cd47c-c94a-4fe0-bb68-a3d4e0468f69,Fun,3
f591d4f8-7985-45c3-a7ad-ac4ac8beeb04,Terrible! I cant reply to a specific message ! Please answer!,1
e8aedd29-5731-42ed-83e2-90c819d3e336,"i was using instagram normally when suddenly i tried to log into a new acc but thr whole screen turned black, so i tried logging out of all my acc but that ended up worse. I tried to open instagram but its just a total blank black page",3
0b89d2e4-96ee-4341-82eb-5855102b4fcd,Good,5
2244b4c2-c6c3-4070-9fff-65ccc84ade44,I love the app but make I download am,5
016620fa-8915-48e2-828a-fc82b85f5e16,It's good app,5
52993982-5892-4d97-8642-177b08eb3773,Amazing and lots more,5
26eaaf19-6ff8-4a4a-9a8c-910ad3d726c5,Best communication app and for advatising,5
afd55aaf-49b5-4627-96ab-84c9a0ecfd3f,This is so best application,5
e03f221f-fdc4-4c60-899c-8411c36d70d7,Good app,5
a74b0118-7896-4c2c-ac36-276e11318337,Hallo firand I love you good morning,1
be9a6a25-ac9d-4f34-ae2c-a360afafbea2,Very good,5
e88682c1-9ead-49cc-87a8-a8c8f037f2d0,This app is really good deserves they 5 Star,5
aa57465c-b596-49fc-b1f9-0f4680418f4e,"It doesn't work What happened? My insta stopped a day ago, can't see stories or other accounts. Can't scroll down. Please instagram fix this!",1
25c98db0-7697-49ac-a4e0-a7099e773a63,Awesome,5
ed6d4ce0-87ed-4d04-8aee-3980e17dd80d,I love it,5
fc80ebf6-2bd3-4ca0-9d7e-236f52363f07,Love it,5
f40b54ad-6593-4f92-aa29-11073158b321,I'm not about to open the application. It shows complete white screen throughout,1
1695d394-3a6a-49f1-ab29-dd44fc76d328,Stupid app I unable to upload story. Whenever am trying to add my story it's showing couldn't upload try again. Even after updating and also reinstalling this app and reporting problem several times the problem didn't fixed. Uh guyz just worst 😏🤬,1
a2cf8ffa-51e4-47e0-8b5d-0a001c898839,"Worst Experience, since last couple of days I'm getting a warning messages, saying music not available in your region, even if the video is someone explaining things or talking. I'm going to delete my account and stick to TikTok. And not to forget the unlimited ads coming by selling my search history on other shopping apps and browser. Update: Already deleted the app, now I have lots of time in life to do something productive. Thanks for your prompt reply.",1
19034eab-7f9d-4ecc-b427-f6cde42114a4,Worst app it cannot manage 3 accounts in one email,1
d6ec3b76-12e9-4bc8-a9c8-5848407468af,Gteereeeeeeat,5
ed554c65-9a5c-4183-ae00-29ea987707c4,good,5
3bf0333b-5c91-46b5-87af-050b95396ea1,I learn and have fun at the same time..most current updates,5
61910b5d-ea9d-47cd-91f3-650ac5291401,Good,5
cc118916-cd9c-4809-be57-dd2fd14b78bc,Xbox ttjvu to be,3
fba2a303-16c2-4739-ba51-93417cdd2823,Waw good the app fantastic,5
695e409b-235a-45a8-b5b8-b0d5326e1b12,hacked me hoe,3
8a96bc49-c4d0-412c-ad7f-a8410b8c0f6d,Good,5
5531037a-8cd8-4aa3-b01f-b58468c3a298,Good experience very reasonable app,5
1f3bd756-b493-4618-a4f1-739355b51894,"I can't open the app, when I open the app it's just a black screen. even though I often update, my storage space is not full",1
8ac4889e-4113-4dea-a1ce-619bbd44c6e2,Locked out for no reason after 10 years. No way to get back into the app. No customer service. Screen is black. No way to delete account or check messages.,1
ef6ce00c-d811-4d1c-a064-7be827e706be,Well done,5
65df1d31-2fea-419a-a73f-f84b63f2ece3,I can't even get into its just wait,1
94730cbd-a980-43d4-a733-2e3fda29ef18,good,5
672fc583-2c83-494a-9f7b-a7c660537cb2,❤️,5
18356cf5-ec25-4856-8639-fd15d2153d38,I like it,5
da20e46e-13fc-4138-8bab-efcdc875e069,Changed review to 3 stars they are starting to get bogus by silencing all 2a and 2a like activity and airsoft content which is why i use the damn platform in the 1st place and until they quit being panzies i wont change my review,3
de86dd93-8cc1-4aee-9709-35d6a5b227b5,llike nic so fun and friends good pic send so love it this app,5
5099f4a2-66ec-4f6f-b3f4-a95c478054d6,Nice,1
3e9def69-f0b9-4e02-8cfb-85df066afb3b,"Once you realize you can shape your experience in your feed, it can be the best thing in the world or the worst thing in the world. Pick who and what you follow carefully and use it for good!",5
f757ec47-933a-479c-8e6a-4188f9a24788,Very good,5
7464f738-7515-4fea-b8a3-791b71dd95f1,Nice,5
f80d8bb0-0069-41bb-a815-a39276e6b1f7,Please add blocked accounts permanently clearing option,4
90a62411-c3ea-41f9-8418-b3e6d4402946,I love Instagram sooo much ♥️♥️♥️♥️♥️,5
c0e4b3dd-e4e1-47ca-8d24-7b7fb984d578,Ok,1
d4637aa7-781a-40e6-8ef6-b1cb63d9b1cf,Naol galing mag edit,5
0489bf94-1538-4103-af58-999c1e035fa7,Good job,5
eef29da0-48d1-4403-9da3-cbd810c050e1,The new update is really helpful and interesting,5
f449157b-bd7a-4095-95a4-5f0b5d3a8bae,Yaaaaar no girl is accepting my follow request 😔😔,1
85fccdc8-d926-426e-b9ee-e4ae1ef91c83,fav,5
5ea7e7cf-109d-478a-a7fa-d39aae5f714b,"I've been using it for a long time now and had no problems, but it just suddenly broke, everytime I open the app its a black screen I've tried everything, deleting cache and all, im putting this here with the hope that someone will help because ig support won't.",1
7a23f9ea-a914-46ad-8b95-9686df5da3b6,Nice,5
7bd89aa9-2487-4430-b402-df13ab543958,Its been super glitchy lately,1
ecbfc1a6-4eae-4704-a850-94e1ce6ef4e1,Wonderful app,5
1bb89132-d85f-4d36-94b3-9e34395808ef,قافد توضیح,5
683b31f9-5b77-4373-8697-6f4bb4127760,5 stars wow,5
a01b18c3-71c9-49ae-80c4-17307e7c2433,Just started acting up a week ago! Keeps saying unable to load feed. I've logged off and logged back on and it's still doing it.,1
4619acc0-4be2-416a-968f-7cd0422159c8,Nice,5
037fbca4-7624-496e-924b-d611d4915445,👍,5
1680de08-f9fb-4060-a620-c63075d4680f,Excellent 😌,5
a5e049b0-fd94-4836-ac69-f21191f1fe75,Very gd,5
3b11d8c4-14e0-413d-8bf7-e9eac8f0d81a,Awesome,4
13d91917-c49b-4111-8dc9-6496d08e8e13,It's amazing 😍,5
348e4d4a-5678-4c5f-bdf2-97d7c23b09a2,Reels me download ka option chalo karo,5
693493b6-57fe-4c87-bc11-a09425f53c8a,Very good,5
f6e9f28f-6ea9-45c4-9a85-2190c55c8e6f,"I enjoy IG but uploading and editing reels can be time consuming mainly bc the app will freeze or play other audio over mine, get all glitchy Wish there was more editing options for uploading content. Ig will push out my reels till under just under 4k and then the reel gets little to no attention. I understand the algorithm but it makes it harder for smaller pages like mine. Other than that I really enjoy the app 👍🏻",3
78dca676-c913-402d-b817-f0bc33849c34,Hello! Instagram is all time best app I love this app so much.. I've been using it from years.I just want to say We want reels feature in Pakistan as soon as possible.Reels are available in many countries but not in Pakistan it is very disappointing We want this feature in Pakistan please do it soon..I'll be Looking for it.Thanks,5
719ef010-caac-4edf-83a2-9d0a7fe965b1,I am unable to log in,1
9fbda289-379f-4e99-aa71-3abff935ff44,"Account got hacked. Contacted 5 times support. No help to get my account back so i ended up loosing it and now hacker is posting stuff on my behalf, changed username, password, phone etc.",1
a9c08276-5aa9-4042-badc-0ba4d660498b,Its very excellent app,5
859e9a57-0f75-4e49-b0a7-270823745030,"I'm not a fan of the Facebook integration. It messes up my inbox (I'd rather instagram contacts only have my instagram account as an option to message). Something I would REALLY like to see is the option to disable volume buttons unmuting videos. Many times, my volume is too loud and when I go to turn it down with instagram open, the video on screen starts playing super loud.",3
584f4b2a-9283-43d3-8ffb-a305983260fe,"After a few minutes of using the app it bugs and text disappears so I have to close it and open it again. Also Reels, videos and stories are playing all slow and choppy. It's been a while since I first reported the issues but no solution yet. Smh",3
b4fc1fd9-69fa-40b9-8828-065a8342b525,Amezing.......life happy,5
e1a2dc52-d4dc-4ad9-8f8c-682b97dd8cf9,old modal version after update showing in my phone.. 🤨,3
4cbfe9b9-942e-4648-b5be-9ba352e0b992,Very good,5
e8e1aaf2-974a-4e85-8b51-63c5345a5d94,I love this app as it helps me to find good friends that are living in another countries,5
5302ce80-7d4e-42a6-a3b1-84ca42d6f20f,"This new layout that is being forced onto everyone is not it. Whoever came up with this idea should be fired. Also when editing photos they get duplicated which you would have thought would work well on a photo app but turns out it's yet another broken mess. And it's been like that for two years now. Instead of wasting your time on updates we don't need or want, go back to just fucusing on what made the app great to begin with.",1
f42609c1-dcce-4a88-b2cf-0f6ee474824e,There a lot scams of dogs and a lot fraud watch out when buying pets. Or anything is scams and fraud they need take then down,4
868af7d9-e76d-48a9-bca4-b670e90af432,Instagram is a platform that allows me to share the metamorphosis of my life.,5
3d505a9a-f9f8-4446-af3a-a92d25b7740b,Good to use no ads and cool for self use,4
c0c3472a-aa66-4b2e-a55a-7fd857620b5e,Good,5
86deacaa-af1a-4812-a41b-24fac4ca66a2,Ramadhan,5
8b1fcb9f-b118-4b2c-a009-624a0f25a37a,goooood❤️,5
5735e791-3ff3-46dc-8d3d-a8cc61655425,х-у-е-т-а,1
eb455982-c37f-4989-9d33-dc46a7835933,Awesome App 👍,5
fb934426-018a-46f0-97b5-2a464d194fa0,Adorooo,5
80a4dd79-50e5-4214-b19c-4bbfdaf7b75b,Arsha,5
481d2fbf-b4b8-4035-ac0c-6f05432b60be,Directing voice is verryyyyyyyyyyyyy bad,1
e4abd16a-cd32-4237-923c-1298d4351be3,Its nice,5
9b3e611f-8a2a-449c-b49a-32d10aad438f,Vrittanam,5
45c284f7-dce6-4f8c-b192-28977a9c8901,App has improved since the issue I had in 2018. Everything works really well and no issues so far!,4
c5d235cd-bf9d-4b70-bdcf-56010586e972,👍🏻👍🏻😍😍🤩🤩,5
99df61f1-1311-41b8-8c33-b7a1dfef7e0e,Since the update I am forced to look at 3 to 4 blogs plus adds before I get to see one of the blogs I subscribe to. Then this repeats after the one I want. No longer worth my time if I can not get to the content I want.,2
abefa73e-d386-41c2-83db-07effc4f3414,Absolutely fabulously glamorous darling Xx,5
6b975ef6-3982-4d8b-8b87-6b4f6fa7578a,I'm having server issue! I can't refresh. I can't even go to my profile. I reported a problem but didn't get any response. Please fix it ASAP...,3
3489c563-7ae2-4a6a-90d9-8068ed8f52b3,Urrv,2
f9b0c588-a75b-4d8a-b444-295a25259e8f,Goodd,5
96874b0d-64d6-407c-8313-bb9ad453b824,All of a sudden I'm unable to watch the reels!,1
f711b8b6-cbba-4226-a0da-703dd69c4a24,Very useful this aap,5
fde47e50-e452-422f-9488-d33313dd4549,Child anit nothing wrong with this app coming from me 😭,5
2d4ac562-6049-4cf0-9cfa-289ce877905e,Good,5
f314bbc1-b3a3-45ef-9a08-2bc775cf50b9,Sufian shorkar,5
4e4dab5e-954c-4cc5-beb9-e698a9b5b68b,Full of videos of fake edited people. 90% of videos are of anorexic teens in bikinis caked in make-up/ filters doing stupid dances or miming. F$#k the Zuck!,1
a0f453ab-2bee-4f01-9f1a-03f1a541a8ac,Didn't work 😞,1
e0496e92-33f2-4d10-9722-79ec61d68477,Wow,5
0b6f69fe-2701-4ec8-b76b-9271ecd6b1e3,I love instagram 😍,5
99ee9255-cb42-49d6-8136-e48a0fad74d1,"Certainly room for improving the app. Sadly Instagram is not improving. Needs a better spam detection, better support for victims of stolen accounts. Better ways for other users to help victims of stolen accounts . Please bring back chronological feed.",3
18e07e6b-5631-45f6-8e47-e0a96b68dbcf,Update,4
8dbe0c2c-20fc-4b47-9f2f-d55e54193978,App won't open,1
622a18a7-ed54-4c30-8c7c-dea1ca714df5,😍😍,5
9bc8e043-db99-44c4-8d97-a1225f3e241b,"i recently tried creating a new account (i had two at the time), but whenever i go to either the ""log into existing account"" or ""create new account"", all i get is a black screen. absolutely nothing. i've tried everything i know to remedy this; closing + opening the app again, clearing cache, and even uninstalling and reinstalling the app. when i did that last one, the app took slightly longer to load, but i ultimately got the same result. not sure what's happening. is anyone else having this?",2
91faf8e2-9174-4f55-b90c-f1d1d3fb58c1,Everything is censored and freedom of speech is suppressed daily,2
8755bd98-71f4-4e5c-9129-d5ec77229065,Very good,1
16cd8c3b-3e32-4236-8739-5442e91bdd09,The music post for stories should be longer than 15 seconds! At least give people time to post the chorus!,3
77862848-51f8-4f64-be5d-7671e955b301,i can't like stories...☹️,2
2ceedcd8-5a24-4cfb-8255-2a722d2c6213,good,5
3e922d72-122f-4a54-85ac-b3ef0c0d18fe,No problem I'm enjoying it,5
0db6f843-66e2-4109-a30b-b1984e4a0628,great app,5
c983a692-e0f1-4ea4-a2dc-58925c21b301,Great,5
8ff6ba31-ea06-4c78-ac7d-211091e5557a,Amazing app,5
6f08d414-0a3d-4609-aa8f-11db869c9b9f,Amazing!!,5
5442dc35-2436-4edb-8a46-7c00a8459dc5,"It's not working for me at all, I can't do anything without it saying (""message"" ""text"" ""fail"")",1
04e8e2ea-8071-43c0-82b4-7e36b66c4ce8,App often doesn't load content,1
632d2cd5-adf0-4ff7-b839-5f15bc686b43,Good Instagram,5
f9635344-1bb9-4bab-aeb8-03eaa534ae43,Cant open the app the screen just goes white after the logo,1
3789c603-e891-48b2-9790-21239277efb0,Perfect picture and video quality,5
142ab2a4-ae52-4d69-b1e5-ad044cef4b51,❤,1
be43c09d-3d46-4679-8db8-2ad97bea8386,Nice,5
55aded8c-032d-4342-80b2-ca56eab56cb9,App is not working properly I installed the app but it's not opening,1
1517af34-458e-47e0-8a36-c248b874a59b,Eats bundle within minutes ☹️☹️,5
788fba2e-157e-4b14-a847-0f44ad25994f,Good app. ❤,5
a20e8832-c807-4909-9823-dedee57a67b3,Veralevel...🔥🔥,5
0640967a-f465-4fd5-a6c5-93028698665f,It's a nice app hahahahahahahaha,5
f6934bfb-f3cb-4cf6-b457-bb825b95a881,Add music option show nahi kar raha hai,5
