reviewId,content,score
45dea664-2441-48e2-87b6-e3c6630d8427,It is very good but we want there to be no reply to the messages . Please add it .,5
37003440-0616-4344-8220-12c1091aef49,"I upload a 4k Video to stories and it looks like VGA?! Are you kidding me? Depressing to see the disadvantage that Android users have. Please start optimizing for Android, at least for well known devices like Samsung",1
54a8e245-bcdf-4508-b734-78a59fd32e52,Great.,5
ccc7563b-c56e-4fc9-bfad-201265733e18,Im trying to open it using browser and i cant,1
d2d0a8b8-e702-4c7a-86ae-f8069509440d,Awsome,5
ac6e7bbd-6315-4e74-b31f-3f5f413073b6,Very very nyc to this app,5
e4251de9-61c8-449d-bab7-e448e4473777,Good,5
f1791353-853f-4508-b4fe-410c1475657f,I can't share story on my story,4
fc2981c6-dc6f-4d3a-b341-2b93571c10e0,Love this app and all it has to offer!,5
06a80249-6a0c-433e-8b80-eeb0ecbc606f,Some posts i can't see the likes and i hate that,4
3957aea3-ccf7-4d2a-97fb-a3c2fc51a561,"Best social experience ever, meet people across the globe and near by.",5
d59d5169-7e28-488d-b892-964bf9f8d563,Great app,3
66ae6b1f-c8c6-4764-bbfe-02dd52a6be0c,It is very enjoyable I enjoyed very much in love instagram😁😁😁😁😙😙😙,5
6df327a4-56e5-434d-8a5a-1939b0866c0c,It's a very good up!!😜,5
d33ad43b-d948-4875-bf62-0ef0dd69f7dd,I love this app,5
b47a0b5b-1862-4b00-8ed9-dc4a7df435c4,Loving it 😍,5
3307359f-a568-4f61-b1d5-c43dee3177fb,So much fun im it,4
ebf66ac0-26a4-4470-b08d-37ddf9e950dc,Quite the best experience yet! <3,5
43c0b61e-9f4d-4a0e-9b17-e5da4cce812c,Wny instagram black mode us not available,5
0cd067f4-927a-4a6a-8eb5-7be03610e0f3,Nice,4
41532083-4868-482b-8afd-272315cdfbf0,Lovely,5
0cb4a1b7-6355-4392-81b1-7d0143e3a964,I downloaded Instagram on my new phone. Been trying to log in but no matter what I do ig just won't let me log in. I can't log in through Facebook. I had a link sent to my email and still can't log in. Why can't I log in to my Instagram?,1
c699f429-a7da-411f-b83a-4323215dbe39,Pucture quality gets ruined,4
1ebfccf2-fcb4-4939-871b-ab1e6b82ffc1,Gorgeous,1
a51ec7d5-f333-402d-894a-391cd26dbd19,Easy to talk to friends,5
d30027b6-e1fc-47ed-99b2-60e76f1d10b9,Thank you,5
317e40c2-816b-45b8-b779-b61365f23e34,Nice..its ok..only that sometimes when you want to send message..they give restrictions so please id really want to know why?,4
08c19361-ccd3-4f9b-9b80-5f41c6568c6a,Noice,5
d3dbeed1-b2b8-47c2-be47-2d66af19c201,I have also that problem my msg automatically delete....I don't know why.....I love this app .can someone solved it plz,5
0924d89a-920d-4430-9307-117a10556555,It is very good and awesome,5
692c17d3-24ae-4cc0-aed7-0fe266a4a379,Great,5
499b5077-5480-4392-9669-1f044a54dec8,Woh 😍😍,5
894a39d3-1ba2-415e-8150-930e6ecc6376,Just one thing I asked for verification of my account is not done by @instagaram am doc and we'll known surgeon already shared magic experience with Instagram but no reply thank you insta pls verify my account you have my id in your inbox,5
a608b0a7-d7d2-4754-af96-d6f9883f5396,"Video quality hits cliff after uploading in android version of the app, which is not the case in iOS. Start working on Android to improve video quality and resolve this unacceptable limitation",1
69eea425-449d-43b5-963e-a1bc20eb0094,Fun,5
fc3d32c7-dd48-4830-8965-02e61993458e,"Hey, my Instagram account was hacked a few days ago so I deleted the app, now I can't re-install the app, advice pls!",1
41c1e57a-1300-485f-afbb-34f74c12b455,Dark mode Please,2
23f139ff-3f14-404a-9cef-18b0c14eb930,Its great,5
1291cbca-fd34-437c-9e82-1609d20e6397,Instagram keeps improving and I am so glad! This app is great!,5
1ccc084d-2d57-42f5-a9a0-5d15f55df60a,Awesome,4
6f3e46dd-a099-4b05-b87e-7912cb4ec84f,بشدت وقتگیر.گاهی مسخره. گاهی هم مفید,4
75de145f-377b-4a14-a595-e19b19d8fdeb,Great i guess dont use it. Lol,5
5cf7ed6f-e8e0-42d9-b576-6fbde04f5920,Amazing 👌,5
653cf17a-3320-4c53-a799-8c1154933510,Awesome,5
75665a01-d565-4a7e-baa2-05aa290a3523,"Look and feel & ease of doing things can be improved, as design is quite puzzled. Things can be shown clear and aligned as on facebook. Text is quite messed up at caption with the username.",3
4a3b8e5e-c74e-4aaa-8688-4887c3926c9b,It's an amazing app used to explore awesome content and be with family and friends.,5
d359d657-379b-4c9b-99b3-4de29fd4c893,Good,5
f28d50ff-f3c9-42c8-b402-af1c6e9a217a,Niceapp,5
487c87b1-a30e-4c04-bdd8-e7db188ef37d,I somehow cannot change my story privacy. It's been going for almost 6months now. I always update my Instagram app and I'm using a fast internet as well but despite all of that I still can't change it. Can you please do something about it? Cuz it's been bugging me for so long now and I'm thinking of not using this app anymore cuz it's becoming unreliable.,1
9b6e75bd-98ae-418a-8f41-8851fb666baa,Its makes mind fresh,5
7a148330-9a4a-4006-884f-549e8d23279f,Very good,4
0e9f39c5-7303-48a1-b1d1-9817dff89efd,Nice app. No issues,5
f3f0fcb3-75b9-4ca3-9c61-f064598d2908,It's amazing though it consumes much data,5
e2cafef7-8356-4136-bfba-03be43ac2ca4,Nice,1
f8ecd385-6bc6-4519-ad08-f5711849d94f,Can't post video or multiple to stories and get no relief.,1
1d926dc0-c48f-4ed0-9197-f31f9410a517,You will love it so much,5
013fabd7-2ec2-4096-b7c8-aa45b5962658,Great platform for photos,5
fb62b292-bc80-4b59-a225-fd46641571fa,Great,5
0b77f9dc-9102-4ebf-99c6-9b5e72e2a6b4,It's dope,5
77f98503-f69c-4d30-ac24-eda31e2c0ef9,Nice,5
598831c9-beff-463f-ab3b-9b6d5f496948,Cool app,5
7b361804-de98-48d3-944c-7d40345bcdf9,Love it. Just created a new account (@justol_munchie),5
79f65d0c-cddd-4dd8-8bcd-60cea9ee2e66,Download it connect with others 😁👍,4
5c424050-4573-43f7-909b-ee78b176b7eb,Good am enjoying it OBE,4
39535fdb-3a0b-4420-80fd-e6dcfd184cc8,Plz give a warning before banning accout for doing nudity post,2
c2621839-fcad-4527-9cd6-900552c2b813,Great,5
d8e7d6b0-c01a-4ad0-9edf-aa5809552e7d,Fabulous,1
f61daf1a-b678-4f4b-be0d-9de6e5f8c86b,Iekde marathi song nahit Bad app,1
99555387-2117-401b-8059-49c130b4ad0a,the application stopped working or updating!!!!!!! guys still couldn't us Instagram from the app what r u doing!!!!!!!!,5
c1d7ccee-364e-4fb8-8d79-ab3b820c5ff4,Excellent,5
ae817d82-3c34-4de1-8e8a-979153fae3f1,💝💝,5
62bfcd89-7fd0-43c3-b64e-ca4952dc7f02,I post pictures and videos,4
2f0f430b-8daf-4162-aade-6e22eeee9a35,Its awesome but its not funny that much its just awesome and a little bit of funny but tik tok I funnier than instagram but I gotta ask whats better tik tok or instagram cause I really sometimes hear people saying instagram is better then tik tok then the other side I hear people saying tik tok is better then instagram spo I gotta say which is better insatagram or tik tok?,4
cb5fd51e-75f7-4d5f-a599-cd5e0e1ff8c3,aktr application bft7o bgdd💕,5
26a0d5d6-9810-4494-88aa-cb9f261d4dcb,Extraordinary,5
cf3c8e36-0bcf-496a-8d2f-e5b83ce1ad03,Great,5
15061b31-7a4f-495b-aa79-50e9ef39620d,Gujjar,5
d946626b-469c-4516-bdd3-6a78a917ee1b,Umm nice apps.,5
77c7d9a5-c04d-43e4-95e9-f6c3017300f2,This app is stupid i tried to unfollower people and its saying icant,1
5a5d2518-52cd-4708-a4fe-c2baab7e2cb2,Nice app👍👍👍,5
649f54ec-4bfc-4484-9f29-1ba234f81dae,nice app,5
7850f40d-df84-45a0-a6e3-518717d5c09f,A very good app,5
