reviewId,content,score
adaeb86a-72af-4a19-98d2-719089b7f6ea,🎀,5
5b863e23-729f-4631-abfc-673956d0f547,"It's good for looking at stuff, I guess",5
1e15244f-ff43-4efd-9b82-589b2cf83b4f,So bad so good,3
9f2ec7ff-cb4f-4cfd-a38d-41c118feb754,"on android i go to my profile and half of my posts have just dissapeard, like i never posted them, it will not scroll padt 15 posts. Ive checked my profile on other people phones and everything is still there so im assuming its just a glitch.",1
f267f3d2-2e04-4c7c-a407-d4117e55ba5e,Terrible app 😔,1
60c9ecfc-9451-421a-a504-241956b8fb0a,It's the best experience so far,4
8da61849-cdb2-4c50-9cdb-c99231b534d6,Great app 👌,5
b557b2e1-0479-45b2-bfe9-83b52eb54036,Its leq,5
955ad05b-ad05-4bff-95c6-18218454c429,Best,1
c411176d-bf79-4b70-a056-ae59e28e1a82,It's horrible it be glitches and I can't refresh my mfn page 😒 yall should really fix that shii,2
3f41e1bc-a1a9-4599-b19f-97a765ed513c,"Enjoy using it. Like the features. Dont get how people are following me when I Dont know who they are. 11/08/20 I want to know why Instagram keeps emailing me on weekly basis. It states that my great nephew has sent me a message. When I check in this is not so. 🤬 Sorry but I cannot use Instagram every week. I sleep a lot, have other apps and platforms and a life outside of these things. Please do not continue to do this to me. 2021 & nowts changed 🤨",4
f4767627-40e4-4a9a-9cfb-01a3900b9575,It's not working,1
c71ccaa1-2614-4df2-b4a3-c53564471901,This app is very good,5
3f2bfa3a-9d24-4466-ae9c-1b0413bcf4ea,Reels option in my country pleaseee,2
c800a818-ae52-41c4-a6ab-016e56633cd1,Badddddddddddd,1
64a6e920-f2cf-4ef7-92a1-2dd8f364a1cd,"This app is so awful for android, it crashed on both of mine. It won't let me see any feed, stories, messages, anything. I even uninstalled it and it still won't work. If Facebook really wants to keep its Instagram users it better fix these glitches.",1
e6e8fb4a-2e56-4b4f-9ef0-26409e745db9,I have lots of bugs from the app,3
6c6786c5-e1b5-4c74-9980-9d18047e7282,perfect app And nice performance,5
7d61b5db-74af-413e-937f-a0cd09b49621,U best,5
1142a8b9-c5bf-498e-a5d1-493dbf173b1f,Rojalin dash,1
2a15e9c9-ceda-4a96-ba7e-4ea3d644a7f2,Instagram is quick and easy to use. The only thing missing is being able to make posts from the computer.,4
72185a4e-4cf0-43f5-b5d4-210791efe839,"Trash. Completely blocked out of my account for no reason. Never got a warning or anything. It's been about 5 days now and nothing shows up in my news feed, messages, stories or anything. I've reported it numerous times and have yet to get a response. I've followed instructions on if this happens to your account. I uninstalled, reinstalled, logged out and back in and still nothing. It's bs.",1
37753d28-df79-4a7a-a818-ea77e60c14ff,Rey razalo,5
0c1cadce-8bca-45d9-abf2-c061a7dc0b54,The latest update keeps locking up my phone while I'm viewing stories. I have to take the phone battery out to restart it.,1
2e3eae0a-480b-471e-b05d-bb6e2368c8aa,not best,5
3aabdd70-8a0e-409e-b4ec-a1330911697b,More ads,3
f63e0c69-548f-4a93-a160-ef766c950b6c,Incredible,5
7c78c2b5-1472-4365-8fe5-67ddde5b46b4,Nice,5
3471354f-78c7-4446-9a5e-558a950b1947,Really fun,5
3c78d645-c9dc-483a-b53d-9c949b863a60,The app on Android is disgusting the activity isn't working for about two months,1
cd42157e-d6f1-4818-847c-c0a0e0c77937,"Getting bad experience time by time, every update make this app hard to use, so many glitches and bug, even used it in flagship phone android",1
6e3ed242-f16e-489e-820a-26601a465f05,Best,5
7f37d0ae-2e18-4b9a-8f09-d07f24bd0b9b,"O 2FA não funciona a contento. Uma vez perdido não há maneira de reaver a conta. O suporte responde que desabilitou o 2FA, mas o app continua a pedir o código. Suporte ruim.",1
2717ffa3-1e93-45d6-846c-b23b2d851c24,Excelente app,5
1d1db1f3-0833-4576-a1d6-b265535bd803,Insta is playing up! For some reason I'm having to Uninstall then reinstall the app to upload every post !! So frustrating 😫,3
e9b6187e-5a93-4ca9-9e30-774568d40f4c,Trash.. LIKE UR MOM,1
685b2a09-790f-440d-8db5-fc8388508303,I am start to using instagram since from past 4 years i am happy and satisfied,5
01ea5b08-e480-4469-9764-22ffb5a9249d,great,5
8a3033de-40ba-473f-8708-ed3dd2962548,Best social media app,5
57bd0b08-b5b5-44fb-822c-36559a95373b,Thik thak,1
8af176c5-f310-42f6-a363-66a2f775388e,Best app for time pass 😅,5
642e7fc3-1d07-4172-ad1d-b497042e041a,It's very good,4
dad1b91c-d8fb-42a0-a6e3-afeeb81aadf1,Activity is not displayed. Please fix it.,1
8aa50712-0797-409b-8565-58f34f9e929e,My Facebook account has been banned for Instagram. It's bed. It was a very bad experience 😥😥,1
263bcca2-175b-4612-8beb-7f854c2f6789,Tj,5
582942f0-1977-469c-87cf-d1377a4041fc,Cool,5
d31905ec-f58c-4dfd-9632-eacaf1b56485,👌♥️,2
222dbc9b-8f8d-4793-8468-e24aeaaa3403,There have been a lot of bugs on the app recently,3
67c4e46d-b8f5-4fe7-bd62-4734a3db22e8,God is good,5
aa36a301-8d88-429e-9804-c11e745511d3,Impressive,5
054d6cb4-e854-41b2-8006-dfcc452367c6,What about 'not possible to post more than 1 picture in one post ' and 'reels editor is soooo slow '? Where did the most of the music go from library ??,2
8f57d267-510c-4729-b6ea-c4c37a8b1ce5,No verification code. Cant even create account.,1
