reviewId,content,score
4320e174-bb0c-4eb3-b6b9-afcd325fb3c8,Good,4
6448c8a2-002c-4eaf-a30c-5c7f3074fa14,My instagram account hass not,1
9e6e232e-2a3d-4be6-a02c-dfe599513a07,Very nice,5
cbf83d71-b6b0-4859-9d64-e3c9bbacf80c,I love this app,5
f3d396bf-77ca-4457-b75b-7e6e46ea5bf8,Why I can't open my Instagram it's been 2 days already,1
f173ee0e-3ebe-4ab4-afcb-3dbaa7cbd395,Good app,5
a313e2b1-1c76-40d8-bf87-90426d228752,Very very Good,5
a5812d73-8bd0-4c24-a003-d382683dc494,Gorgeous,3
dbc86de0-f72b-40e4-8c22-d6e719a9e015,Is a nice app but at times it makes me to feel like am going crazy,3
5846b453-2183-4c95-89b0-5d07518265fd,White screen problem,1
b937cf8c-1cfd-4928-93f7-5cc959f68bd2,I like it because you can have fun in it I give it a 5/5,5
2206b9bb-191c-4ce3-85ad-492f42da11a1,Nice,5
df1dbfff-7bfc-4f9a-8169-c6de066355bf,Amaaa,5
fe932b10-3387-4f46-bda0-9ba8aa1f5eec,👍,4
415d1a3b-67ea-4d29-883b-d94a9d260302,Nice app,5
8860db1b-ae2d-4a43-a23a-8526021b91e3,Good app,5
d5b30b12-cb9d-479d-86ee-397775c5be1a,Aws,5
dea5272e-d2aa-4b79-89fc-8947ad7af23f,Good app nice to chat with frnd's and stranger's,4
aa221846-348a-4243-9af3-d282a6b0f8bd,Devendar Roj Deaf,5
731a6923-ac39-4017-a763-5d9d170ace32,Nice app,5
fca51107-ff1f-4b47-ad86-98d44e5ed5f8,Sirra,5
4cb4f8c2-0df0-4f7a-baca-db7bac4cdaa1,Great app for time pass but sometimes its lag .II have posted a story by mistake and i delete it .But everytime i am opening insta its showing that i have posted a story. Its been two days,3
5a35da0c-24c0-49d2-bffd-c2e6601d0271,Super 💟 app,5
65146093-f50f-4148-a3b0-6f134eff4839,"After uploading the story, the audio does not come in the story when downloaded",1
77cfa209-5dc3-4558-b9c4-3dc0b81c0506,"Very good, I love it",5
c54e70ab-8177-466c-8b77-fcecb50ef80d,Hhhhhhhhaahaahahahhaahahhahahahahahahahahah,5
dc5fee0d-9ca4-4287-a2f3-5406dfb6cdd6,Nice app,3
b14f060c-68ef-4e30-b542-fde341fa2164,Ok,5
75ac1b29-531e-4a65-b8f7-c7d524ac334d,White screen problem unistall krne k baad install hi nai ho rahaa hai,1
4f6af60f-bec3-4afa-bda9-25eae58ba9eb,Komma item,5
845464ce-159e-4628-9b46-5af753f83b28,Pictures are not loading i have been restarting my wifi several times and its still the same fix it,1
ad456d2f-ec56-4344-8800-94aca5db49fa,Cuenta bloqueada... Sin razón,1
cc2aed21-fa7d-4e35-a49e-cff652f4eaf2,Sabse ghatiya app ( only time waste),1
ed1876e1-2305-4ab8-a65b-1b386e0968e3,Fantastic app,5
4ae498e6-9755-4f2d-bc77-3a8d972ae01c,Lot of bugs,1
7c6934f7-b88e-48cc-84ee-04ca4ea3276d,Good,3
f80f2f02-520d-4348-8624-074f3a205fca,excellent,5
dfaab6de-f336-4194-ba97-6600da084ade,Good app,5
81c4c952-919e-44e9-ba55-61b7d252c690,Bhai video hi dikh nai rhi yrrr kaisa update aaya hua hai... Worse update yrrr,1
bc83cd25-c0df-40e0-af4f-c4954215e08e,Good good good good,5
859db0b4-8c9c-4a2d-9335-3448ecc62bb5,"I can't view reels, when i start to play a reel the video starts to glitch",2
8e7af6a3-9943-446f-b391-cfac1683476a,😎😘💕,5
15de5711-91cf-4d07-8902-142abb43b21f,"o cant open the app at all, it only shows white screen and i cant even choose any option to login. too bad because i dis enjoy using this app daily",1
622630de-5c9d-4844-b099-eaf94d6757b3,Gd,4
17b9acbd-08f7-4258-9291-47aab01cd117,Nice app,5
dabfecf5-57fe-4af2-b975-8366261f1373,This application is really wonderful but filter are very boring,4
4464cb27-cab8-4f94-8fb9-0e4e174fa094,Congratulations instagram for 1 billyon dowloding,5
