reviewId,content,score
65bdb063-7b3a-439d-9eda-4d3965ad0fbd,Koma coraiteen,5
12c7e426-c0e0-45ac-99d1-18466dc3ba57,usefulness,5
f36d108c-6103-4355-a586-149aa408620e,Good,5
2b9eb2d9-011f-468d-8669-88ef31fd392a,My camera on ig ain't working dam,1
07e3657f-1078-41c7-987e-586aee585b9d,❤️❤️❤️,5
ee6f0759-b7c4-4da1-b1f2-048526dfacf6,Worst app there are so many glitch while uploading a story form to long I'm using this app but there was no problem at all but right now I'm facing so many glitches I'm fed-up of this app,1
f8b3ed2b-88bf-4cd6-a1c3-8d5eeb6d1320,Nowadays insta having a lot of problems and that's make me sad stop change him every minute there's a new up date even of i cant send photos cant use filters or take photos Instagram being too bad hope that u Will fix it soon as possible that's enough,1
f756513d-02e3-484d-85b0-aaad5843af78,But whatever you,1
b3e3843f-17df-4e65-aae5-3e9beb54a6d4,Best app❣️,5
b6ea8507-9cb2-4b97-a59b-98dcd8b5f2a9,Stop asking me to update my birthday Everyday. Asking me everyday won't change my birthday. Irritating,1
35bed5ff-5ce3-41db-9de4-630d5146337a,This update is so bad I can't add account not I just have only two account on it,1
c8e13a55-07c8-4d39-9038-a1b5d1d77913,Great,5
2fb978fa-088c-466b-a314-60e90dd72d7d,NBA YOUNGBOY t,5
837b47de-6de1-4015-b7a5-b66d65d1fbc5,Every now and then new bugs are introduced. Please do proper testing. Else hire good programmers like me. Itta bada product hai. Itta hagga kaise karte ho bhai.,1
5822ac19-8034-4f13-8f86-84dda139a7b5,Insta is verry nice app i love this app ❤❤❤❤,5
bb0f7000-80c7-4d7c-bbec-af867b07407f,"I don't know , what happened with Instagram , my Instagram application doesn't open continuesly showing black screen .... I'm frustrated with this glitch , Instagram please solve this problem 😑",1
e1be7571-4e5c-4666-9789-478757645408,Good,5
9c9ad209-633e-43e3-b70a-4b7309cae4b0,Too many glitches,1
d04ed431-0c07-41aa-be5c-e42fca37f37b,the last update was so unnecessary??? i updated and now the camera is just not working it doesn't take any pictures and im pretty sure the problem isn't from my phone?!,1
ebaf3675-b211-4178-ac09-9aed161a2a3c,"Ugh, IG sucks now. What happened?! Can't even load reel videos 😒",2
72f77e91-1775-4e99-ab20-38a82b8b9a28,Love,5
a24130a1-3fba-477b-85cf-c885623ac652,👍🏾👍🏾,4
cbb5bff5-a4ae-41b4-bbb1-d2d2613d2279,Glitches,1
c93ede11-4e16-4cff-99df-d421c8012f49,I couldn’t written to my story post.,1
c8da638a-e6e5-4352-b801-8752dc25d2c1,King of bug,1
b5c474ea-5a77-48be-a66c-df2632b89f80,Instagram is not working facing white screen problem help please,1
f3d14f1c-280a-4e32-9bd5-d2cfbb7c93fc,Plzz stop updating it all time,1
a10a3e29-8aad-44a8-bcf9-3c205203a917,Yas ❣️ it easy,5
5e94ea77-4861-40ed-9541-93292046cca8,Op,5
db3dd065-0821-415a-8b93-74f4219dd086,Brilliant.,5
23b70d0e-6181-40b9-bca2-58a91081cdd8,good 🙌🏻♥️,5
17c0ba35-86d3-4ec1-9305-2e20bbc8ff25,Good for make new friends,5
28b49f76-e424-46cd-a561-deb04bc744b0,......ؤهفءفخءمفءخفءخفءمفذم٤,2
0765609c-bdf4-48de-ad28-c4b6bfda5e19,🥺👎,1
834e9b6f-0392-4afa-816b-e7645183af4b,Is this like an amazing app good 👍,5
a5836748-1d75-4f22-a900-e2dd58b28363,Stop the disable and refresh of Instagram Some are not scam or fruadstar pls watch before disable or restricted,3
662ef27e-a38f-4b56-8046-b29d5db4f6fb,Now it's little fun on Instagram to explore new things.,4
542469e2-953a-4c8f-9297-377a5fa2ad17,It's Awesome 💕,5
eb20fe70-8041-48fb-b812-ad97da73d0f4,"""Add your own birthday"".... how many times is this app going to ask me to add my birthday? I've done this more than enough times. I'm basing my 1 star review solely on that. Until it's fixed, this 1 star stays.",1
7b9a3e1f-bbfb-4c7a-8bf5-b66b8931371e,Super,5
b56175a2-1801-49c0-b11a-3c2309bf6d6b,"Scrolling still delayed, one update done but still happening",1
28aed094-9548-40b8-8e77-a7d8f2d4792c,My IG is not working at all. It shows black screen whenever I open it.. even I am not able to see login interface.. fix it!!! Asap now,1
0843699b-44d3-4fef-8a45-0f754c722d21,Such a bogus security system it has We can't reset password easily if we forget old one,1
db8095b1-f52d-4d4b-91dc-83d2a8c6e48f,"wow, just wow.. the algorythm, story bugs, reels bugs, and much more",1
334b6b04-59da-4db5-8400-1cb3f366425d,Thus is a very good app and usefull but this Take Lost Of Update That make me bore,3
71126e56-846f-4ed6-a855-09a699c79961,Since yesterday there was a problem in app. I click on app and then it shows only blank white screen and I'm unable to open and use my instagram account...So kindly sort out this problem immediately...,1
11aa9799-781e-4b04-a857-569d747b3cb3,Really buggy had install reinstall when installed kept asking for security. When back in lost all saved stuff posted useless,1
84278981-a9e7-4c6d-ac40-63f20a9d6a43,So good,5
36e2c649-4d07-465b-856c-c0f32c3c2f76,Exciting and eye opening!,5
f858a9f0-3037-4adc-899d-6b0b3e9d9e4c,Excellent and very nice exhibiting the day to day activities.🙏,5
1a5bfe54-9241-4a5c-b1f1-5b6447bcbf7c,Bugs..,1
111089d2-e73a-447d-a499-6aeb2c763ed2,My fev aap,5
26a62514-aff1-4ec1-98b6-610a2d55dc76,Update every person....❤️🤞,5
bd75c18b-bad6-4128-b446-c827ed959a33,I like it better than fb,5
6a8e2c69-bc5d-4f2f-a154-a93d41daff54,"so many bugs on android, i cant even take a photo to add to my stories today. saw there was an update, did that, still didn't fix the issue. reels freeze if you double tap to like them in your feed, its like IG forces you to click on the reel to watch it so you get out of your feed and into the endless loop of reels. instagram, stop trying to be tiktok.",1
5b268260-7393-4712-bd75-dd45379a1917,Ghh,5
2a714b42-9888-48cb-91a0-9222ebc0dfda,GLITCH GLITCH AND GLITCH NOTHING MOREEE,1
97b62ac3-fe4a-4a63-a8f4-116d4f2ee645,Goooood,5
8727f97e-1a25-4445-a43d-9344225b105f,Super finicky app for the last several updates,1
c64ca054-5f05-40db-863d-5d8b51dceb5b,A good and easy to use,5
c307dd7a-2356-4d5d-a771-86f096950c1d,"The app is having a bug where the screen is stuck on a black screen. I can login from online so I know it's an issue with the app itself. I tried clearing cache, force stopping, uninstalling and reinstalling, and even restarted my phone. Nothing worked and the bug continues. This app really just keeps having issues.",1
eeee09ea-2a4a-45c5-8721-0c3a68183244,"(12/12/21)App is still crashing while trying to make reels and just shuts down on repeat.. a week latter when opening IG a refresh page keeps showing up then the app shuts down again.. UPDATE 3/11/22 STILL constantly crashing when trying to make reels, if it doesn't completely kick you off the app it will glitch to the point that you have to start over. Nothing has been fixed. Trying to post on stories is also a nightmare ... 6/28 STILL HAVING THE SAME PROBLEMS! Now messages won't send",1
b977453b-35d4-4ed3-a4db-9911bd06442e,"App hasn't worked well in months, now it only shows advertisements. Doesn't seem to be a way to show posts from friends",1
c3b477ac-b8a0-4091-a764-c972de0f6803,ازاي مينفعش احمل الصوره او الفيد!!! لي مينفعش افتح البروفايل! لي الكومنات مش مرتبه!!!!! اقل من نص نجمه لو ينفع!,1
