reviewId,content,score
bf980c3d-d104-440a-8df3-ed5f76922351,Very nice app,5
2f44fe78-b03b-47ec-83f1-d38428a1a63c,Amazing,5
d43a6d7e-6e26-4df2-b215-5491de58961b,Very Fantasy App,4
92c2f7dc-316f-49c1-8390-1d494c0d7703,Bur lekha ba sala instagram,5
15a8e7a7-9be1-4f6c-a33e-ffea945888e3,Good,4
d7a626e9-2a09-4a2d-a28e-7a4ca936852c,Best app for sharing photos and videos,5
4e12263c-3c97-4eeb-82bb-d6c562ae5616,Very goo,5
e0df088f-6ad7-4adf-968a-72d8776a7370,nice app,3
c60d2076-9c1f-45e0-b0eb-63686d47607f,Good,4
1aca7f09-c5cf-4c46-b567-f4f7f35dd62a,R❤💞💞www💞wwt💪,3
df09125e-ffa9-4523-9af0-4ba9d96f988c,I am enter on insta for my crush,5
135e5186-9190-4736-89e9-ea3c9a716e3f,This app is very usefull to easely intract with family and friends,4
7b7bd9ca-e12b-4faa-8204-2849289f2d18,Instagram is my favourite app Facebook and Twitter is not my favourite,4
be8818ae-1d74-47af-9ff7-c5211b1159bc,عالیه دستمریزاد,5
c1fa6c71-1598-43fc-b36c-f437d18193c7,Mind blowing this app,5
4a9b3d6e-0e00-4870-aba1-e075672ff0af,كثير صاير في مشاكل برسائل وستوري وبوست ارجو اصلاح المشاكل بدأ التطبيق يصبح ممل,1
277bced3-ebc4-4ea0-aefd-510c2cccbd67,Love it app 😘😘,5
af8e8579-82d9-4d24-b0f7-be1db3e298cf,Showing people your talent,1
98ac5e3d-edf2-4db0-a041-786aadc67ccc,𝓜𝔂 𝓱𝓸𝓫𝔂,5
20edd874-380c-49c2-b680-4f2498fc231c,👍 great,5
90e7b662-97c3-4fbf-a7af-ae15d9a93c73,✌️✌️,4
d27d64bd-bfab-44a7-a9df-ce62a9c72bf1,The app is extremely bad. It keeps hanging all the time and none of the reels are playing. The audio plays but the screen is just stuck. After repeated uninstall-reinstalls the problem still persists. It's infuriating!,1
b8bdcd22-47c1-4b84-b183-49de6d11e08a,Khdija,5
57a7f7e6-92cc-4fab-8926-72999663e726,This up is best for social environment.,5
95a0d153-28e3-4e7e-bcca-b2de29c1fc9f,V good,5
72eca57f-09f2-42c0-b738-48c97dd496af,Mental health issue,1
d9f85ca2-1257-4de2-87d9-8f8fff000e98,OP app,5
9f0f6c1a-e767-4df7-832c-19d258dba982,Love it but constant bugs problem.,3
2fcc07a4-a2d2-41cb-a6d8-759c14fa7c16,The new feature is just irritating. The new reels option in place of search option is not so good. Hence it must be removed and the search option should get back it's place .,1
79d41e50-7d37-4780-8135-f3b1372912b2,Why my acount follower not increased Asadkhaaniofficial2,5
5dcca3f0-c841-47dc-80f6-17eca618cc77,Osm,5
57d63448-f569-4424-8c9f-3a48a61da8ce,Lodanae sex,1
80e3ea4b-a57f-443d-ab5d-92240e04d272,My camera is not working why is that.. Please rwsponds instagram... My camera seems to suddenly gotten stretched whenever i try taking photo with the instagram camera directly 🥲,1
